54.24 41.42
16.57 49.15
63.56 37.32
20.26 31.12
8.48 -9.46
61.56 -9.81
49.42 0.11
51.52 16.44
81.23 -13.9
32.17 33.05
63.08 -7.21
24.47 25.13
43.15 0.35
45.51 5.17
11.49 -5.68
13.36 31.56
15.09 38.36
50.09 8.0
49.44 24.57
76.33 -7.85
56.37 8.23
16.57 4.56



0.0	6.537364534912968	1.8780798433182668	10.60475301044851	6.239766132544706	6.266655079679946	5.687775956214376	34.886057508424685	5.257238540649956	2.976126142715825	1.9216677137524094	6.4089703559657165	8.389399540896138	7.034493121859966	9.506174687786174	29.780154007629896	9.959638670887367	10.027575045945927	2.435202269664709	8.169779049280544	5.080531318066297	23.502959010117916
6.537364534912968	0.0	37.50781025117603	4.101174892253023	3.531036805677768	5.258420752103083	4.509017279036352	7.890272815388521	5.271950993572839	1.6986801208112083	2.3158298546551377	2.2831885551021136	5.101390740365181	4.71263573926928	4.4003267508383725	2.7119007732896683	4.689141006358647	11.307090746101194	3.2548680499508063	6.868309917548388	4.778106224198759	10.850433170012467
1.8780798433182668	37.50781025117603	0.0	9.056024132138159	4.409537820201398	3.502460096516361	3.211173170558087	4.192171055753452	3.3376137042860834	2.5786485848407836	1.4431947559686737	3.9363690271944827	4.117102931802352	3.478879712025928	5.5753697960035185	8.588067258819299	18.294775899275166	6.406842269930444	1.6190338063025418	4.201473507283362	2.701621870585966	14.077368808823811
10.60475301044851	4.101174892253023	9.056024132138159	0.0	3.279792370538171	5.282617880780718	4.156745759309916	11.66175712521206	5.095183475853651	1.0769512904340681	2.028532350804397	0.8831705178397814	4.795847827485024	4.499097072661904	4.282566779990941	1.464662710593899	4.024546092084669	181.37041194182083	2.868766340658468	6.932120069150644	4.365261312552845	18.821902910356073
6.239766132544706	3.531036805677768	4.409537820201398	3.279792370538171	0.0	12.061126618814123	7.5502274043134365	4.697828281173163	9.24630731829738	6.016041276071116	3.4232782092558924	5.620522896199885	5.3744946751935085	6.486451589089594	1.1286675282316077	3.8365466744567986	3.313608226952878	3.5446389214969587	7.01518097494578	8.765179793085585	6.531920436806402	1.2748636017728112
6.266655079679946	5.258420752103083	3.502460096516361	5.282617880780718	12.061126618814123	0.0	12.448785372515097	3.406568564441673	4.18765722590387	14.003885535667113	0.1724640641602058	16.556854401227927	6.541219265095074	7.366266706761996	16.914976090757524	8.372551667091088	5.494494753094402	1.9417848953863976	11.414795855351239	4.390849639202418	5.405949335146443	4.554404485914616
5.687775956214376	4.509017279036352	3.211173170558087	4.156745759309916	7.5502274043134365	12.448785372515097	0.0	2.2294342571563655	7.0985781367210095	13.518023460343903	0.8391257059276516	17.486802544898318	2.7810272495278867	2.839493015801498	12.10384381623761	7.340740661430437	4.5666232118793655	0.7793115850697453	11.806651418050889	12.903607923679386	4.752925663120863	3.493835567945356
34.886057508424685	7.890272815388521	4.192171055753452	11.66175712521206	4.697828281173163	3.406568564441673	2.2294342571563655	0.0	3.559003221879169	3.0939710152651814	1.024665647437034	5.2669540912725346	3.5362461827758445	2.4235920228673904	7.093025389841202	20.12461179749813	10.733107113361736	2.9192879699603997	1.1241901404109786	5.039948126026067	1.395562697072814	17.40738191132029
5.257238540649956	5.271950993572839	3.3376137042860834	5.095183475853651	9.24630731829738	4.18765722590387	7.0985781367210095	3.559003221879169	0.0	17.189337244982113	1.2719000102458975	10.387227987755944	5.835341659480923	5.687668826946809	9.050948151218321	7.687684781866397	5.410549503036431	2.568828726315586	10.994130484950434	1.5177493025424762	6.398620388419266	4.820759250078073
2.976126142715825	1.6986801208112083	2.5786485848407836	1.0769512904340681	6.016041276071116	14.003885535667113	13.518023460343903	3.0939710152651814	17.189337244982113	0.0	2.67761215650434	3.240957414930616	9.086741271184062	7.307239685179163	7.543542931233686	2.7925258214498023	1.525896493834398	2.75692783281754	21.466329712848356	43.48872689904888	24.315793700044733	3.194287514284554
1.9216677137524094	2.3158298546551377	1.4431947559686737	2.028532350804397	3.4232782092558924	0.1724640641602058	0.8391257059276516	1.024665647437034	1.2719000102458975	2.67761215650434	0.0	2.459224057934537	1.0315401914324027	1.052048840546377	2.6415333721028467	2.523355377241733	2.2328939791443774	0.7090430213581438	1.7937988686109045	0.6692622270750699	0.8456521361104479	1.725144455959499
6.4089703559657165	2.2831885551021136	3.9363690271944827	0.8831705178397814	5.620522896199885	16.556854401227927	17.486802544898318	5.2669540912725346	10.387227987755944	3.240957414930616	2.459224057934537	0.0	79.91170525401635	30.183637836874293	10.826179164325037	2.8408763506241677	1.7555884242368442	3.7483784157799533	9.939356063386937	29.232799405564517	17.171084818559194	2.9441399041126504
8.389399540896138	5.101390740365181	4.117102931802352	4.795847827485024	5.3744946751935085	6.541219265095074	2.7810272495278867	3.5362461827758445	5.835341659480923	9.086741271184062	1.0315401914324027	79.91170525401635	0.0	8.072353803420768	11.298731825801616	9.849526626374328	5.24354149309966	1.3037410723144292	8.627489842398166	13.734733966270218	6.18950374860079	3.7204841965398057
7.034493121859966	4.71263573926928	3.478879712025928	4.499097072661904	6.486451589089594	7.366266706761996	2.839493015801498	2.4235920228673904	5.687668826946809	7.307239685179163	1.052048840546377	30.183637836874293	8.072353803420768	0.0	16.29361456318188	8.731093489012446	4.889259245727462	0.6765505818746071	5.929210151788668	11.156906337556023	3.747821328456867	3.916843583909815
